0.033,26256,0.033,0.0353,1,1501842451334,0.0010715178571428573,0.0045357142857142853,0.022321428571428572,0.96427750000000001,16.0,195.0
0.0291,19248,0.0291,0.0308,2,1501842470583,0.0032143535714285712,0.089392857142857135,0.10760714285714286,0.86428250000000006,12.0,120.0
0.0291,18341,0.0581,0.0639,3,1501842488925,0.0089285821428571419,0.068178571428571422,0.15024999999999999,0.99284749999999999,11.0,66.0
0.0217,37503,0.0217,0.0233,4,1501842526429,0.0017857964285714284,0.046964285714285722,0.16446428571428573,0.90713750000000004,19.0,162.0
0.0217,24216,0.0319,0.0331,5,1501842550647,0.0003572392857142857,0.061107142857142853,0.050750000000000003,0.94999250000000002,14.0,55.0
0.019,29666,0.0193,0.0204,40,1501843487898,0.00031764211398249698,0.024685754223484697,0.18534572620041659,0.83912703085111062,19.0,200.0
0.019,30874,0.0197,0.0196,41,1501843518777,0.00059841460246859565,0.024747201885941594,0.17404763341387469,0.8147129221113889,20.0,188.0
0.019,29261,0.0196,0.0212,42,1501843548045,0.00031764211398249698,0.024747201885941594,0.15595654148874824,0.82837468892584887,19.0,176.0
0.019,30997,0.0191,0.0201,43,1501843579047,0.00031764211398249698,0.032543851154705004,0.1867545021841728,0.82417731842490805,20.0,177.0
0.019,27848,0.0208,0.0217,44,1501843606902,0.00024181147155154635,0.040301461370555541,0.17404763341387469,0.8147129221113889,18.0,173.0
0.019,31235,0.0193,0.0191,45,1501843638144,0.00031764211398249698,0.021493413148504666,0.16409019875373126,0.8147129221113889,20.0,190.0
0.019,30775,0.0194,0.0191,46,1501843668927,0.00014389355310119519,0.024747201885941594,0.18732368031561009,0.8147129221113889,20.0,189.0
0.0186,30936,0.0186,0.0197,47,1501843699868,0.00031764211398249698,0.024747201885941594,0.17404763341387469,0.80133283052199822,20.0,177.0
0.0186,395756,0.0197,0.0205,48,1501844095629,0.00031764211398249698,0.024588905840277068,0.15954124479306711,0.80133283052199822,20.0,177.0
